project_id,spatial_unit,spatial_location,lat,lon,nr_fields,nr_farmers,man_mean_date,man_sd_date,nr_fields_irrigated,nr_fields_weeded,nr_fields_tilled,nr_fields_sowed,nr_fields_harvested,nr_fields_urea,nr_fields_dap,nr_fields_potash,nr_fields_zinc,nr_fields_fungicide,nr_fields_herbicide,nr_fields_pesticide,mean_urea_kg_acre,sd_urea_kg_acre,mean_dap_kg_acre,sd_dap_kg_acre,mean_potash_kg_acre,sd_potash_kg_acre,mean_zinc_kg_acre,sd_zinc_kg_acre,mean_fungicide_kg_acre,sd_fungicide_kg_acre,mean_herbicide_kg_acre,sd_herbicide_kg_acre,dam_mean_date,dam_sd_date,nr_fields_dam_rain,nr_fields_dam_hail,nr_fields_dam_high_temp,nr_fields_dam_low_temp,nr_fields_dam_pest,nr_fields_dam_lodging,nr_fields_dam_wildlife,nr_fields_dam_fire,nr_fields_dam_unclassified,mean_qa,mean_spread,mean_nr_values,total_nr_values,mean_duration,mean_sowing_date,sd_sowing_date,rising,falling,rising_lower_ci,rising_upper_ci,falling_lower_ci,falling_upper_ci
1,sedac,33379,30.8995834419785,75.8564092518916,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA
1,sedac,33655,30.8962113539746,76.3032853643029,4,4,2017-01-08,34.5450792443729,4,1,0,1,0,4,0,0,0,1,0,2,36,9.36897954837013,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2017-01-07,28.9194283023253,0,0,1,0,0,0,0,0,1,15.25,16.4630376344086,16.25,65,95.25,NA,NA,2016-12-09,2017-02-10,2016-12-11,2016-12-06,2017-02-05,2017-02-15
1,sedac,33659,30.8897957605518,76.2788033119512,4,4,2017-01-14,48.6902454296546,4,0,0,4,0,3,1,0,0,1,0,3,22.4,20.8758233370567,0,NA,NA,NA,NA,NA,0,0,NA,NA,2017-01-31,51.2315007262784,1,0,0,0,0,1,0,0,1,20.75,7.87322984749455,21.75,87,121,NA,NA,2016-12-12,2017-02-08,2016-12-15,2016-12-09,2017-02-02,2017-02-14
1,sedac,33788,30.881304595448,76.2993922021878,4,4,2016-12-25,48.5178415882338,3,0,0,2,0,3,1,0,0,0,1,2,41.6666666666667,4.08248290463863,0,NA,NA,NA,NA,NA,NA,NA,0,NA,2016-12-14,3.05505046330389,0,0,0,0,0,0,1,0,0,21,6.5125,22,88,117.25,NA,NA,2016-12-09,2017-01-30,2016-12-11,2016-12-06,2017-01-23,2017-02-06
1,sedac,33890,30.856785636349,75.8520186485194,4,3,2017-01-22,37.4332739684896,3,0,0,1,0,2,2,0,0,0,0,1,91.6666666666667,49.1596040125088,25,35.3553390593274,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-29,49.4974746830583,0,0,2,0,0,0,0,0,0,8,49.4055555555556,7,28,74.5,NA,NA,2016-12-09,2017-01-18,2016-12-24,2016-12-05,2017-01-14,2017-01-23
1,sedac,34021,30.8549730370355,76.3334151162548,1,1,2017-01-25,50.3400203323243,1,0,0,1,0,1,0,0,0,0,0,0,95.8333333333333,14.4337567297406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,18,8.44444444444444,19,19,152,NA,NA,2016-12-01,2017-01-24,2016-12-05,2016-11-26,2017-01-16,2017-01-30
1,sedac,34052,30.8458299682991,76.3089082121667,8,8,2017-01-21,48.2982947393102,3,1,0,3,1,2,2,1,0,2,1,0,45,10,0,0,0,NA,NA,NA,0,0,0,NA,2017-01-25,75.0266619276108,0,1,1,0,0,1,0,0,0,5.4,12.12,4.375,35,47.875,NA,NA,2016-12-19,2017-02-09,2016-12-23,2016-12-15,2017-02-01,2017-02-16
1,sedac,34087,30.8382749064933,76.2915351735909,5,5,2017-02-01,19.6188031209204,3,0,0,0,0,3,1,0,0,0,0,1,18.5,16.431676725155,21.6666666666667,2.88675134594813,NA,NA,NA,NA,NA,NA,NA,NA,2017-02-24,NA,0,0,0,0,1,0,0,0,0,9.5,6.18055555555556,8.6,43,42.4,NA,NA,2016-12-25,2017-02-08,2017-01-31,2016-12-18,2017-02-07,2017-02-10
1,sedac,34095,30.8347371451173,76.2783722079256,2,2,2017-02-20,37.2332564331323,2,1,1,2,0,2,0,0,0,1,1,1,31.6666666666667,16.0727512683216,NA,NA,NA,NA,NA,NA,0,NA,0,0,2017-02-18,32.1489279981242,1,1,0,0,0,1,0,1,1,21,4.65102974828376,22,44,95.5,NA,NA,2016-12-08,2017-02-05,2016-12-10,2016-12-07,2017-01-08,2017-02-07
1,sedac,34173,30.8296803184877,75.8360942674527,13,13,2017-02-05,42.1372696221746,7,0,0,6,0,6,0,0,0,4,2,3,55.2777777777778,16.8446380212031,NA,NA,NA,NA,NA,NA,0,0,0,0,2017-01-31,38.867724399558,2,0,1,1,1,0,0,0,0,9.27272727272727,18.1037909458962,9,117,78.1538461538462,NA,NA,2016-12-21,2017-02-17,2016-12-25,2016-12-17,2017-02-12,2017-02-24
1,sedac,34235,30.8218566077913,76.2671568606031,1,1,2016-12-24,36.0185422333468,1,0,0,1,0,1,1,0,0,1,1,1,58.3333333333333,20.4124145231932,0,0,NA,NA,NA,NA,0,0,16.6666666666667,40.8248290463863,NA,NA,0,0,0,0,0,0,0,0,0,62,2.35483870967742,63,63,146,NA,NA,2016-12-20,2017-02-20,2016-12-22,2016-12-17,2017-02-18,2017-02-22
1,sedac,34390,30.805227189329,76.2783391611038,6,6,2017-01-24,39.0334614287679,2,0,0,0,0,3,0,0,1,0,0,1,46.6666666666667,5.77350269189626,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2017-02-22,29.0600931001436,1,1,0,0,0,1,1,0,0,10.25,9.72724867724869,7.83333333333333,47,51,NA,NA,2017-01-04,2017-02-26,2017-01-08,2017-01-01,2017-02-21,2017-03-02
1,sedac,34716,30.7611991992917,76.4361487835237,2,1,2017-04-06,NA,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1.5,2,4,1.5,NA,NA,NA,NA,NA,NA,NA,NA
1,sedac,34759,30.7493222340348,76.4447904268149,3,3,2017-01-21,43.3310896855056,2,0,0,0,0,1,0,0,0,1,0,1,50,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,11.5,9.98461538461538,8.66666666666667,26,73.3333333333333,NA,NA,2016-12-22,2017-02-26,2016-12-29,2016-12-18,2017-02-21,2017-03-03
1,sedac,34768,30.7498925342436,76.4237438950187,3,3,2017-02-07,53.4476379272274,2,1,1,3,1,2,2,0,1,1,0,1,21.5555555555556,28.8362233619068,1,1.54919333848297,NA,NA,3,NA,3,0,NA,NA,2017-03-31,12.7410099024109,1,0,0,0,0,1,0,0,0,18.3333333333333,10.8649122807018,19.3333333333333,58,106.333333333333,NA,NA,2017-01-02,2017-02-26,2017-01-04,2017-01-01,2017-02-14,2017-03-02
1,sedac,34774,30.7423787648888,76.2013224560864,2,1,2017-01-22,46.9751707465408,1,0,0,0,0,1,1,0,0,0,1,1,135,61.2372435695795,112.5,77.7013513396003,NA,NA,NA,NA,NA,NA,160,28.8675134594813,2017-01-09,NA,0,0,1,0,0,0,0,0,0,11,11.4545454545455,6.5,13,63,NA,NA,2016-08-14,2016-09-22,NA,2016-08-08,2016-09-04,2016-10-06
1,sedac,34817,30.7427204954418,76.4383437042776,5,5,2017-01-17,45.7907003145193,2,0,1,3,0,2,3,0,0,2,1,2,105.30303030303,30.4635897922471,86.4285714285714,56.0143288991023,NA,NA,NA,NA,98.2142857142857,53.22691420329,115.277777777778,19.4386079008807,2017-02-08,35.4441881863653,2,2,1,0,0,2,0,0,1,17.25,4.81324876673714,14.8,74,61.8,NA,NA,2016-12-05,2017-02-13,2016-12-07,2016-12-03,2017-02-11,2017-02-16
1,sedac,34863,30.7341928418908,76.1318416302483,5,5,2017-02-27,27.7548794508882,2,0,0,2,0,2,1,0,0,1,1,2,45.8333333333333,4.91596040125088,45,NA,NA,NA,NA,NA,0,0,0,NA,2017-02-17,31.9142079122554,1,1,2,2,1,1,2,0,0,7.75,8.10952380952381,7.4,37,44,NA,NA,2016-12-22,2017-03-03,2016-12-26,2016-12-20,2017-02-28,2017-03-07
1,sedac,34883,30.7335275337702,76.1807827349956,4,4,2017-02-11,48.9643861506617,2,1,0,2,0,2,0,0,0,0,0,1,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-02-17,39.2460189063808,1,0,0,0,1,2,0,0,0,13.6666666666667,6.9360119047619,11.25,45,55.75,NA,NA,2016-12-23,2017-02-15,2016-12-24,2016-12-22,2017-02-12,2017-02-20
1,sedac,34930,30.7199596952301,76.4299999826725,2,2,2017-03-07,53.5611799720656,1,0,0,1,1,1,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-02-26,49.943301185778,1,0,0,0,0,0,0,0,0,8.5,17.219696969697,9.5,19,131.5,NA,NA,2017-01-09,2017-02-18,2017-01-12,2017-01-06,2017-02-12,2017-02-22
1,sedac,34934,30.7243346456022,76.1969943734259,5,4,2017-01-27,34.982334631407,4,0,0,0,0,2,1,0,0,1,1,1,42.5,15,0,NA,NA,NA,NA,NA,0,NA,0,0,2017-02-16,49.1407114703229,2,1,0,0,1,2,0,0,0,18.6666666666667,3.75148809523809,12.4,62,54.8,NA,NA,2017-01-08,2017-02-06,2017-01-12,2017-01-03,2017-01-29,2017-02-28
